group,test_case_id,run,prompt,success,iterations_used,fatal_errors,error_msg,target_deviation_pct,first_pass_success,total_tokens,power_consumption_mw,model_match_rate
G0_Ours,test_5,42,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,8,,,False,14469,,1.0
G1_No_Expert,test_5,42,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,8,,,False,9107,,1.0
G2_No_Shield,test_5,42,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,8,,,False,10829,,1.0
G3_No_Metric,test_5,42,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,8,,,False,11267,,1.0
G4_No_Iter,test_5,42,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,1,1,,,False,1362,,1.0
G0_Ours,test_6,42,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,1,0,,0.48914299999999855,True,3865,,1.0
G1_No_Expert,test_6,42,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",False,8,8,,,False,5360,,1.0
G2_No_Shield,test_6,42,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,2,1,,1.0383215999999962,False,2407,,1.0
G3_No_Metric,test_6,42,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,1,0,,0.570302999999992,True,891,,1.0
G4_No_Iter,test_6,42,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",False,1,0,,76.23762559999999,False,1732,,1.0
G0_Ours,test_7,42,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",True,1,0,,0.02385399999999649,True,4064,,1.0
G1_No_Expert,test_7,42,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",False,8,7,,,False,9785,,1.0
G2_No_Shield,test_7,42,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",True,1,0,,0.02385399999999649,True,1449,,1.0
G3_No_Metric,test_7,42,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",True,1,0,,0.02385399999999649,True,606,,1.0
G4_No_Iter,test_7,42,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",True,1,0,,0.02385399999999649,True,1443,,1.0
G0_Ours,test_8,42,"Help me build a 20dB non-inverting amplifier to buffer signals. Use the LM2904 op-amp in a non-inverting topology for high input impedance. Use 10kΩ and 100kΩ resistors to set a gain of 10x, which is exactly 20dB. Add a small series resistor at the output to prevent accidental shorts. Likewise add coupling capacitors at input and output. ±5V supply is sufficient.",True,1,0,,0.005002499999999799,True,3719,,1.0
G1_No_Expert,test_8,42,"Help me build a 20dB non-inverting amplifier to buffer signals. Use the LM2904 op-amp in a non-inverting topology for high input impedance. Use 10kΩ and 100kΩ resistors to set a gain of 10x, which is exactly 20dB. Add a small series resistor at the output to prevent accidental shorts. Likewise add coupling capacitors at input and output. ±5V supply is sufficient.",False,8,8,,,False,7252,,1.0
G2_No_Shield,test_8,42,"Help me build a 20dB non-inverting amplifier to buffer signals. Use the LM2904 op-amp in a non-inverting topology for high input impedance. Use 10kΩ and 100kΩ resistors to set a gain of 10x, which is exactly 20dB. Add a small series resistor at the output to prevent accidental shorts. Likewise add coupling capacitors at input and output. ±5V supply is sufficient.",True,1,0,,0.005002499999999799,True,1360,,1.0
G3_No_Metric,test_8,42,"Help me build a 20dB non-inverting amplifier to buffer signals. Use the LM2904 op-amp in a non-inverting topology for high input impedance. Use 10kΩ and 100kΩ resistors to set a gain of 10x, which is exactly 20dB. Add a small series resistor at the output to prevent accidental shorts. Likewise add coupling capacitors at input and output. ±5V supply is sufficient.",True,1,0,,0.005002499999999799,True,622,,1.0
G4_No_Iter,test_8,42,"Help me build a 20dB non-inverting amplifier to buffer signals. Use the LM2904 op-amp in a non-inverting topology for high input impedance. Use 10kΩ and 100kΩ resistors to set a gain of 10x, which is exactly 20dB. Add a small series resistor at the output to prevent accidental shorts. Likewise add coupling capacitors at input and output. ±5V supply is sufficient.",True,1,0,,0.005002499999999799,True,1378,,1.0
G0_Ours,test_9,42,"Design an LED constant-current driver with current controlled at around 20mA. Use the LM2904 op-amp as the control core, plus a power MOSFET or transistor to drive the LED. Use a sense resistor of several tens of ohms; constant current is maintained through op-amp negative feedback. The LED branch supply can be higher, such as 12V or 24V. The entire circuit must be grounded.",True,1,0,,0.8749420000000008,True,4045,,1.0
G1_No_Expert,test_9,42,"Design an LED constant-current driver with current controlled at around 20mA. Use the LM2904 op-amp as the control core, plus a power MOSFET or transistor to drive the LED. Use a sense resistor of several tens of ohms; constant current is maintained through op-amp negative feedback. The LED branch supply can be higher, such as 12V or 24V. The entire circuit must be grounded.",False,8,8,,,False,11598,,1.0
G2_No_Shield,test_9,42,"Design an LED constant-current driver with current controlled at around 20mA. Use the LM2904 op-amp as the control core, plus a power MOSFET or transistor to drive the LED. Use a sense resistor of several tens of ohms; constant current is maintained through op-amp negative feedback. The LED branch supply can be higher, such as 12V or 24V. The entire circuit must be grounded.",True,1,0,,8.015753525976486,True,1130,,1.0
G3_No_Metric,test_9,42,"Design an LED constant-current driver with current controlled at around 20mA. Use the LM2904 op-amp as the control core, plus a power MOSFET or transistor to drive the LED. Use a sense resistor of several tens of ohms; constant current is maintained through op-amp negative feedback. The LED branch supply can be higher, such as 12V or 24V. The entire circuit must be grounded.",False,8,7,,,False,10117,,1.0
G4_No_Iter,test_9,42,"Design an LED constant-current driver with current controlled at around 20mA. Use the LM2904 op-amp as the control core, plus a power MOSFET or transistor to drive the LED. Use a sense resistor of several tens of ohms; constant current is maintained through op-amp negative feedback. The LED branch supply can be higher, such as 12V or 24V. The entire circuit must be grounded.",False,1,1,,,False,986,,1.0
G0_Ours,test_10,42,"Make another LED driver, this time with lower current — 10mA is enough for an indicator light. A simple transistor-plus-resistor scheme will do; no need for anything complex. Use a small-signal transistor 2N3904 with a base resistor and LED current-limiting resistor, keeping the collector current around 10mA. 5V supply is sufficient.",True,1,0,,4.731793964454631,True,3733,,1.0
G1_No_Expert,test_10,42,"Make another LED driver, this time with lower current — 10mA is enough for an indicator light. A simple transistor-plus-resistor scheme will do; no need for anything complex. Use a small-signal transistor 2N3904 with a base resistor and LED current-limiting resistor, keeping the collector current around 10mA. 5V supply is sufficient.",False,8,8,,,False,8502,,1.0
G2_No_Shield,test_10,42,"Make another LED driver, this time with lower current — 10mA is enough for an indicator light. A simple transistor-plus-resistor scheme will do; no need for anything complex. Use a small-signal transistor 2N3904 with a base resistor and LED current-limiting resistor, keeping the collector current around 10mA. 5V supply is sufficient.",True,1,0,,4.731793964454631,True,1130,,1.0
G3_No_Metric,test_10,42,"Make another LED driver, this time with lower current — 10mA is enough for an indicator light. A simple transistor-plus-resistor scheme will do; no need for anything complex. Use a small-signal transistor 2N3904 with a base resistor and LED current-limiting resistor, keeping the collector current around 10mA. 5V supply is sufficient.",True,1,0,,4.731793964454631,True,633,,1.0
G4_No_Iter,test_10,42,"Make another LED driver, this time with lower current — 10mA is enough for an indicator light. A simple transistor-plus-resistor scheme will do; no need for anything complex. Use a small-signal transistor 2N3904 with a base resistor and LED current-limiting resistor, keeping the collector current around 10mA. 5V supply is sufficient.",True,1,0,,4.731793964454631,True,1130,,1.0
G0_Ours,test_1,123,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,2,0,,4.3325195331257005,False,7540,,1.0
G1_No_Expert,test_1,123,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",False,8,6,,,False,14481,,1.0
G2_No_Shield,test_1,123,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,2,0,,4.3325195331257005,False,4592,,1.0
G3_No_Metric,test_1,123,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,3,0,,4.3325195331257005,False,3598,,1.0
G4_No_Iter,test_1,123,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",False,1,0,,35.13512034007293,False,2399,,1.0
G0_Ours,test_2,123,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",True,7,0,,6.766671846452767,False,17606,,1.0
G1_No_Expert,test_2,123,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,8,8,,,False,10021,,1.0
G2_No_Shield,test_2,123,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,8,8,,,False,9074,,1.0
G3_No_Metric,test_2,123,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",True,3,0,,6.766671846452767,False,3686,,1.0
G4_No_Iter,test_2,123,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,1,0,,36.14567742972421,False,2277,,1.0
G0_Ours,test_3,123,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,9.591027249999993,True,5817,,1.0
G1_No_Expert,test_3,123,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",False,8,8,,,False,9528,,1.0
G2_No_Shield,test_3,123,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,9.591027249999993,True,3008,,1.0
G3_No_Metric,test_3,123,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,9.591027249999993,True,1778,,1.0
G4_No_Iter,test_3,123,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,9.589876499999992,True,3054,,1.0
G0_Ours,test_4,123,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,8,0,,315.345247,False,29604,,1.0
G1_No_Expert,test_4,123,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,8,8,,,False,7699,,1.0
G2_No_Shield,test_4,123,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",True,2,0,,11.301977333333339,False,6178,,1.0
G3_No_Metric,test_4,123,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,8,0,,89.80907286666667,False,12904,,1.0
G4_No_Iter,test_4,123,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,1,0,,48.098390333333334,False,3276,,1.0
G0_Ours,test_5,123,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",True,1,0,,0.3418888235294074,True,5957,,1.0
G1_No_Expert,test_5,123,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,8,,,False,11501,,1.0
G2_No_Shield,test_5,123,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",True,1,0,,0.3418888235294074,True,2526,,1.0
G3_No_Metric,test_5,123,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",False,8,0,,100.0,False,11380,,1.0
G4_No_Iter,test_5,123,"Help me design a regulated power supply. Input is around 15V, and I want a stable DC output voltage. I plan to use a Zener diode scheme with a transistor buffer to enhance drive capability. Use the 1N4733A (5.1V) Zener and a 2N3904 transistor. Add filter capacitors at both input and output to minimize ripple. Tie all grounds together.",True,1,0,,0.3418888235294074,True,2603,,1.0
G0_Ours,test_6,123,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,1,0,,1.0383215999999962,True,4145,,1.0
G1_No_Expert,test_6,123,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",False,8,8,,,False,5841,,1.0
G2_No_Shield,test_6,123,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,2,1,,1.0383215999999962,False,2652,,1.0
G3_No_Metric,test_6,123,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,1,0,,1.0383215999999962,True,948,,1.0
G4_No_Iter,test_6,123,"Simply make a 5V reference supply — no need for high current, just enough to provide a reference for digital circuits. Use the most basic Zener scheme: one 1N4733A Zener diode plus a current-limiting resistor is sufficient. Input 12V; choose the resistor so the Zener operating current is between 5-10mA. Add a capacitor at the output for filtering.",True,1,0,,1.0383215999999962,True,1771,,1.0
G0_Ours,test_7,123,"I need to build an inverting amplifier circuit with 40dB gain, used to amplify thermocouple output signals. The core uses an op-amp — the LM2904 is fine. Input resistor 1kΩ, feedback resistor 100kΩ, giving a gain of -100x. Add a matching resistor at the inverting input to reduce bias current error. Use capacitive coupling at both input and output. ±12V supply.",True,1,0,,0.02385399999999649,True,3666,,1.0
